Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3)
2019-11-10 17:00:00,6.83,21.08,0.48,60.65,45.75,25.0,9.85
2019-11-10 18:00:00,5.7,22.3,0.55,56.5,55.5,32.25,9.72
2019-11-10 19:00:00,6.82,4.07,0.61,48.85,62.5,27.75,10.25
2019-11-10 20:00:00,17.58,3.1,0.77,34.98,75.5,32.25,10.52
2019-11-10 21:00:00,11.8,1.73,0.7,41.23,86.75,38.75,10.78
2019-11-10 22:00:00,11.6,1.0,0.76,33.8,72.5,40.25,10.22
2019-11-10 23:00:00,9.88,5.57,0.73,32.35,73.25,45.5,10.1
2019-11-11 00:00:00,8.3,6.95,0.7,30.68,62.5,40.5,10.02
2019-11-11 01:00:00,7.32,14.57,0.64,24.62,65.25,38.75,9.88
2019-11-11 02:00:00,8.3,15.95,0.66,23.38,69.0,38.25,10.22
2019-11-11 03:00:00,7.78,15.25,0.68,19.1,68.5,38.25,10.1
2019-11-11 04:00:00,8.52,12.55,0.77,19.0,68.5,37.5,10.5
2019-11-11 05:00:00,8.35,16.48,0.75,16.7,71.5,42.5,10.65
2019-11-11 06:00:00,8.32,14.0,0.8,14.5,67.75,43.75,10.88
2019-11-11 07:00:00,13.23,11.62,0.74,11.68,73.0,46.0,10.9
2019-11-11 08:00:00,14.22,11.15,0.71,13.82,80.0,50.5,11.18
2019-11-11 09:00:00,11.32,16.55,0.67,31.45,75.0,37.75,11.62
2019-11-11 10:00:00,9.2,6.07,0.66,47.15,76.75,42.0,11.57
2019-11-11 11:00:00,12.15,11.2,0.58,58.75,70.5,46.5,12.07
2019-11-11 12:00:00,9.2,5.65,0.54,74.05,65.5,42.75,11.8
2019-11-11 13:00:00,8.82,14.95,0.61,81.05,72.5,41.75,11.8
2019-11-11 14:00:00,8.98,10.93,0.54,80.92,67.75,33.25,11.68
2019-11-11 15:00:00,8.45,1.5,0.54,76.98,57.25,35.5,11.03
2019-11-11 16:00:00,9.28,,0.57,70.35,55.0,31.75,10.9
2019-11-11 17:00:00,9.6,,0.56,66.18,55.5,33.0,10.7
2019-11-11 18:00:00,12.32,,0.6,50.03,58.25,32.0,10.43
2019-11-11 19:00:00,17.65,8.78,0.64,38.35,65.75,38.0,11.0
2019-11-11 20:00:00,14.5,8.12,0.75,30.2,78.25,39.0,10.75
2019-11-11 21:00:00,17.18,7.1,0.79,24.73,78.25,39.75,10.75
2019-11-11 22:00:00,13.35,7.5,0.79,23.77,68.25,34.5,10.12
