Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-11-12 11:00:00,0.75,19.46,19.37,0.52,4.66
2019-11-12 12:00:00,0.74,19.26,22.16,0.22,6.37
2019-11-12 13:00:00,0.74,19.53,26.54,15.21,9.59
2019-11-12 14:00:00,0.75,19.6,29.64,31.64,6.94
2019-11-12 15:00:00,0.76,21.52,27.48,25.39,6.8
2019-11-12 16:00:00,0.77,19.96,29.42,18.79,3.64
2019-11-12 17:00:00,0.74,20.17,24.57,29.85,2.09
2019-11-12 18:00:00,0.8,20.97,30.49,46.79,3.29
2019-11-12 19:00:00,0.75,21.27,25.95,34.27,2.59
2019-11-12 20:00:00,0.77,24.49,15.95,31.05,1.8
2019-11-12 21:00:00,0.78,22.82,13.73,28.1,1.28
2019-11-12 22:00:00,0.76,22.7,16.2,35.95,1.01
2019-11-12 23:00:00,0.75,27.74,13.24,39.83,1.35
2019-11-13 00:00:00,0.78,26.83,16.98,34.97,3.93
2019-11-13 01:00:00,0.76,32.23,7.45,39.98,3.95
2019-11-13 02:00:00,0.79,29.12,6.88,22.34,4.02
2019-11-13 03:00:00,0.76,30.03,6.35,33.74,4.05
2019-11-13 04:00:00,0.74,25.17,9.95,34.39,3.23
2019-11-13 05:00:00,0.74,27.41,7.82,31.58,3.53
2019-11-13 06:00:00,0.79,66.76,6.28,59.2,5.21
2019-11-13 07:00:00,0.77,83.28,4.96,64.35,6.49
2019-11-13 08:00:00,0.74,32.17,6.53,50.54,8.15
2019-11-13 09:00:00,0.75,26.76,7.13,83.34,13.88
2019-11-13 10:00:00,0.79,26.43,9.97,82.09,15.3
2019-11-13 11:00:00,,23.61,19.6,58.54,15.26
2019-11-13 12:00:00,,21.64,26.81,25.2,15.02
2019-11-13 13:00:00,,21.45,29.93,18.08,14.96
2019-11-13 14:00:00,0.77,18.9,33.46,5.01,5.65
2019-11-13 15:00:00,0.73,19.18,35.05,11.86,6.22
2019-11-13 16:00:00,0.77,18.66,4.31,3.41,6.36
2019-11-13 17:00:00,0.75,19.97,24.59,31.43,5.86
2019-11-13 18:00:00,0.79,21.22,25.17,55.28,6.29
2019-11-13 19:00:00,0.75,20.75,26.13,38.62,5.71
2019-11-13 20:00:00,0.75,20.22,23.39,25.16,5.86
2019-11-13 21:00:00,0.75,20.38,15.26,17.66,5.9
2019-11-13 22:00:00,0.79,19.12,14.89,21.38,6.04
2019-11-13 23:00:00,0.76,20.23,11.88,36.53,5.92
2019-11-14 00:00:00,0.78,20.73,13.86,24.04,6.2
2019-11-14 01:00:00,0.75,19.71,16.59,37.37,5.79
2019-11-14 02:00:00,0.76,19.4,11.88,22.2,6.13
2019-11-14 03:00:00,0.78,21.38,14.47,17.93,5.91
2019-11-14 04:00:00,0.76,20.31,11.85,28.09,6.16
2019-11-14 05:00:00,0.76,19.85,10.21,36.03,5.96
2019-11-14 06:00:00,0.77,24.44,6.28,44.77,5.94
2019-11-14 07:00:00,0.77,23.58,8.64,35.66,6.06
2019-11-14 08:00:00,0.79,19.59,15.66,24.56,6.06
2019-11-14 09:00:00,0.76,18.81,18.2,16.56,6.08
2019-11-14 10:00:00,0.71,18.09,21.27,20.02,6.15
2019-11-14 11:00:00,0.79,16.75,23.61,15.0,5.89
2019-11-14 12:00:00,0.75,17.47,24.88,8.07,6.22
2019-11-14 13:00:00,0.82,17.08,25.81,10.96,5.74
2019-11-14 14:00:00,0.76,16.05,24.5,7.13,6.06
2019-11-14 15:00:00,0.75,15.89,16.19,7.96,6.22
2019-11-14 16:00:00,,,,,
2019-11-14 17:00:00,0.63,16.08,8.12,12.1,2.0
2019-11-14 18:00:00,0.64,15.15,7.34,16.61,1.51
2019-11-14 19:00:00,0.64,15.45,10.4,24.62,1.2
2019-11-14 20:00:00,0.63,16.12,7.0,14.99,9.9
2019-11-14 21:00:00,0.79,20.54,5.28,20.52,12.82
2019-11-14 22:00:00,0.74,23.24,4.25,34.91,12.43
