Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-11-14 23:00:00,0.66,24.4,4.52,32.68,13.17
2019-11-15 00:00:00,0.55,25.54,4.32,58.9,14.08
2019-11-15 01:00:00,0.51,25.69,4.38,42.72,15.31
2019-11-15 02:00:00,0.48,21.29,4.59,17.42,15.77
2019-11-15 03:00:00,0.52,24.0,4.35,17.64,15.8
2019-11-15 04:00:00,0.53,20.6,3.71,29.59,15.81
2019-11-15 05:00:00,0.55,19.8,4.5,23.01,15.8
2019-11-15 06:00:00,0.59,22.18,4.3,52.67,15.99
2019-11-15 07:00:00,0.62,32.74,3.27,20.92,16.26
2019-11-15 08:00:00,0.62,33.89,3.77,24.61,16.09
2019-11-15 09:00:00,1.0,23.7,2.92,23.66,16.08
2019-11-15 10:00:00,0.89,23.1,8.57,27.59,13.78
2019-11-15 11:00:00,0.72,19.46,6.37,31.82,6.14
2019-11-15 12:00:00,0.68,18.82,10.12,25.8,6.37
2019-11-15 13:00:00,0.7,17.0,6.62,22.5,6.4
2019-11-15 14:00:00,0.69,17.32,4.97,8.38,6.32
2019-11-15 15:00:00,0.79,18.21,7.45,10.03,6.1
2019-11-15 16:00:00,0.72,16.57,11.99,13.27,6.3
2019-11-15 17:00:00,0.73,16.52,13.43,11.04,6.33
2019-11-15 18:00:00,0.71,18.09,6.65,12.58,6.21
2019-11-15 19:00:00,0.86,24.12,4.87,21.82,6.09
2019-11-15 20:00:00,0.74,22.07,4.0,25.14,7.1
2019-11-15 21:00:00,0.75,20.5,4.38,25.1,7.49
2019-11-15 22:00:00,0.86,24.26,3.88,32.99,7.55
2019-11-15 23:00:00,0.83,25.65,3.68,31.4,7.59
2019-11-16 00:00:00,0.69,29.87,4.28,31.91,7.4
2019-11-16 01:00:00,0.63,30.71,4.16,48.89,7.33
2019-11-16 02:00:00,0.6,26.1,4.15,35.57,7.56
2019-11-16 03:00:00,0.71,24.7,4.46,36.22,7.42
2019-11-16 04:00:00,1.0,18.35,4.97,54.48,7.69
2019-11-16 05:00:00,0.98,18.29,5.11,51.03,7.5
2019-11-16 06:00:00,0.97,20.71,4.75,62.94,7.46
2019-11-16 07:00:00,1.04,20.67,4.49,54.86,7.44
2019-11-16 08:00:00,0.9,34.0,4.15,72.63,7.65
2019-11-16 09:00:00,0.77,22.46,10.68,56.14,7.44
2019-11-16 10:00:00,0.8,18.45,15.3,50.89,7.25
2019-11-16 11:00:00,0.67,19.0,16.55,45.68,4.03
2019-11-16 12:00:00,0.56,19.5,20.93,59.12,6.22
2019-11-16 13:00:00,0.52,19.12,25.26,38.21,5.31
2019-11-16 14:00:00,0.53,17.41,32.63,31.69,3.5
2019-11-16 15:00:00,0.53,16.77,28.74,32.91,3.37
2019-11-16 16:00:00,0.76,18.59,21.71,54.49,3.37
2019-11-16 17:00:00,0.78,18.84,22.08,69.92,3.38
2019-11-16 18:00:00,0.82,19.91,24.83,73.7,3.38
2019-11-16 19:00:00,0.89,20.09,13.34,53.92,4.13
2019-11-16 20:00:00,1.0,21.8,9.05,52.88,8.97
2019-11-16 21:00:00,1.04,23.7,9.96,70.59,6.09
2019-11-16 22:00:00,1.12,24.55,15.7,61.27,14.56
2019-11-16 23:00:00,1.17,33.5,4.69,77.16,14.4
2019-11-17 00:00:00,0.88,34.98,3.91,87.29,14.61
2019-11-17 01:00:00,0.76,34.76,4.26,79.77,14.09
2019-11-17 02:00:00,0.66,30.3,4.92,66.69,13.87
2019-11-17 03:00:00,0.68,34.23,5.24,73.15,14.74
2019-11-17 04:00:00,0.65,22.01,8.93,74.8,13.77
2019-11-17 05:00:00,0.6,24.69,6.89,72.09,14.77
2019-11-17 06:00:00,0.66,23.24,5.68,68.07,14.11
2019-11-17 07:00:00,0.69,23.27,5.54,65.84,13.64
2019-11-17 08:00:00,0.5,27.02,10.38,64.17,12.04
