Date,City,AQI
2015-11-17,Pithampur,
2015-11-17,Ujjain,
2015-11-18,Pithampur,
2015-11-18,Ujjain,
2015-11-19,Pithampur,
2015-11-19,Ujjain,
2015-11-20,Pithampur,
2015-11-20,Ujjain,
2015-11-21,Pithampur,
2015-11-21,Ujjain,
2015-11-22,Pithampur,
2015-11-22,Ujjain,
2015-11-23,Pithampur,
2015-11-23,Ujjain,
2015-11-24,Pithampur,
2015-11-24,Ujjain,
2015-11-25,Pithampur,
2015-11-25,Ujjain,
2015-11-26,Pithampur,
2015-11-26,Ujjain,
2015-11-27,Pithampur,
2015-11-27,Ujjain,
2015-11-28,Pithampur,
2015-11-28,Ujjain,
2015-11-29,Pithampur,
2015-11-29,Ujjain,
2015-11-30,Pithampur,
2015-11-30,Ujjain,
2015-12-01,Pithampur,
2015-12-01,Ujjain,
2015-12-02,Pithampur,
2015-12-02,Ujjain,
2015-12-03,Pithampur,
2015-12-03,Ujjain,
2015-12-04,Pithampur,
2015-12-04,Ujjain,
2015-12-05,Pithampur,
2015-12-05,Ujjain,
2015-12-06,Pithampur,
2015-12-06,Ujjain,
2015-12-07,Pithampur,
2015-12-07,Ujjain,
2015-12-08,Pithampur,
2015-12-08,Ujjain,
2015-12-09,Pithampur,
2015-12-09,Ujjain,
2015-12-10,Pithampur,
2015-12-10,Ujjain,
2015-12-11,Pithampur,
2015-12-11,Ujjain,
2015-12-12,Pithampur,
2015-12-12,Ujjain,
2015-12-13,Pithampur,
2015-12-13,Ujjain,
2015-12-14,Pithampur,
2015-12-14,Ujjain,
2015-12-15,Pithampur,
2015-12-15,Ujjain,
2015-12-16,Pithampur,
2015-12-16,Ujjain,
2015-12-17,Pithampur,
2015-12-17,Ujjain,
2015-12-18,Pithampur,
2015-12-18,Ujjain,
2015-12-19,Pithampur,
2015-12-19,Ujjain,
2015-12-20,Pithampur,
2015-12-20,Ujjain,
2015-12-21,Pithampur,
2015-12-21,Ujjain,
2015-12-22,Pithampur,
2015-12-22,Ujjain,
2015-12-23,Pithampur,
2015-12-23,Ujjain,
2015-12-24,Pithampur,
2015-12-24,Ujjain,
2015-12-25,Pithampur,
2015-12-25,Ujjain,
2015-12-26,Pithampur,
2015-12-26,Ujjain,
2015-12-27,Pithampur,
2015-12-27,Ujjain,
2015-12-28,Pithampur,
2015-12-28,Ujjain,
2015-12-29,Pithampur,
2015-12-29,Ujjain,
2015-12-30,Pithampur,
2015-12-30,Ujjain,
2015-12-31,Pithampur,
2015-12-31,Ujjain,
2016-01-01,Pithampur,
2016-01-01,Ujjain,
2016-01-02,Pithampur,
2016-01-02,Ujjain,
2016-01-03,Pithampur,
2016-01-03,Ujjain,
2016-01-04,Pithampur,
2016-01-04,Ujjain,
2016-01-05,Pithampur,
2016-01-05,Ujjain,
2016-01-06,Pithampur,
2016-01-06,Ujjain,
2016-01-07,Pithampur,
2016-01-07,Ujjain,
2016-01-08,Pithampur,
2016-01-08,Ujjain,
2016-01-09,Pithampur,
2016-01-09,Ujjain,
2016-01-10,Pithampur,
2016-01-10,Ujjain,
2016-01-11,Pithampur,
2016-01-11,Ujjain,
2016-01-12,Pithampur,
2016-01-12,Ujjain,
2016-01-13,Pithampur,
2016-01-13,Ujjain,
2016-01-14,Pithampur,
2016-01-14,Ujjain,
2016-01-15,Pithampur,
2016-01-15,Ujjain,
2016-01-16,Pithampur,
2016-01-16,Ujjain,
2016-01-17,Pithampur,
2016-01-17,Ujjain,
2016-01-18,Pithampur,
2016-01-18,Ujjain,
2016-01-19,Pithampur,
2016-01-19,Ujjain,
2016-01-20,Pithampur,
2016-01-20,Ujjain,
2016-01-21,Pithampur,
2016-01-21,Ujjain,
2016-01-22,Pithampur,
2016-01-22,Ujjain,
2016-01-23,Pithampur,
2016-01-23,Ujjain,
2016-01-24,Pithampur,
2016-01-24,Ujjain,
2016-01-25,Pithampur,
2016-01-25,Ujjain,
2016-01-26,Pithampur,
2016-01-26,Ujjain,
2016-01-27,Pithampur,
2016-01-27,Ujjain,
2016-01-28,Pithampur,
2016-01-28,Ujjain,
2016-01-29,Pithampur,
2016-01-29,Ujjain,
2016-01-30,Pithampur,
2016-01-30,Ujjain,
2016-01-31,Pithampur,
2016-01-31,Ujjain,
2016-02-01,Pithampur,
2016-02-01,Ujjain,
2016-02-02,Pithampur,
2016-02-02,Ujjain,
2016-02-03,Pithampur,
2016-02-03,Ujjain,
2016-02-04,Pithampur,
2016-02-04,Ujjain,
2016-02-05,Pithampur,
2016-02-05,Ujjain,
2016-02-06,Pithampur,
2016-02-06,Ujjain,
2016-02-07,Pithampur,
2016-02-07,Ujjain,
2016-02-08,Pithampur,
2016-02-08,Ujjain,
2016-02-09,Pithampur,
2016-02-09,Ujjain,
2016-02-10,Pithampur,
2016-02-10,Ujjain,
2016-02-11,Pithampur,
2016-02-11,Ujjain,
2016-02-12,Pithampur,
2016-02-12,Ujjain,
2016-02-13,Pithampur,
2016-02-13,Ujjain,
2016-02-14,Pithampur,
2016-02-14,Ujjain,
2016-02-15,Pithampur,
2016-02-15,Ujjain,
2016-02-16,Pithampur,
2016-02-16,Ujjain,
2016-02-17,Pithampur,
2016-02-17,Ujjain,
2016-02-18,Pithampur,
2016-02-18,Ujjain,
2016-02-19,Pithampur,
2016-02-19,Ujjain,
2016-02-20,Pithampur,
2016-02-20,Ujjain,
2016-02-21,Pithampur,
2016-02-21,Ujjain,
2016-02-22,Pithampur,
2016-02-22,Ujjain,
2016-02-23,Pithampur,
2016-02-23,Ujjain,
2016-02-24,Pithampur,
2016-02-24,Ujjain,
2016-02-25,Pithampur,
2016-02-25,Ujjain,
2016-02-26,Pithampur,
2016-02-26,Ujjain,
2016-02-27,Pithampur,
2016-02-27,Ujjain,
2016-02-28,Pithampur,
2016-02-28,Ujjain,
2016-02-29,Pithampur,
2016-02-29,Ujjain,
2016-03-01,Pithampur,
2016-03-01,Ujjain,
2016-03-02,Pithampur,
2016-03-02,Ujjain,
2016-03-03,Pithampur,
2016-03-03,Ujjain,
2016-03-04,Pithampur,
2016-03-04,Ujjain,
2016-03-05,Pithampur,
2016-03-05,Ujjain,
2016-03-06,Pithampur,
2016-03-06,Ujjain,
2016-03-07,Pithampur,
2016-03-07,Ujjain,
2016-03-08,Pithampur,
2016-03-08,Ujjain,
2016-03-09,Pithampur,
2016-03-09,Ujjain,
2016-03-10,Pithampur,
2016-03-10,Ujjain,
2016-03-11,Pithampur,
2016-03-11,Ujjain,
2016-03-12,Pithampur,
2016-03-12,Ujjain,
2016-03-13,Pithampur,
2016-03-13,Ujjain,
2016-03-14,Pithampur,
2016-03-14,Ujjain,
2016-03-15,Pithampur,
2016-03-15,Ujjain,
2016-03-16,Pithampur,
2016-03-16,Ujjain,
2016-03-17,Pithampur,
2016-03-17,Ujjain,
2016-03-18,Pithampur,
2016-03-18,Ujjain,
2016-03-19,Pithampur,
2016-03-19,Ujjain,
2016-03-20,Pithampur,
2016-03-20,Ujjain,
2016-03-21,Pithampur,
2016-03-21,Ujjain,
2016-03-22,Pithampur,
2016-03-22,Ujjain,
2016-03-23,Pithampur,
2016-03-23,Ujjain,
2016-03-24,Pithampur,
2016-03-24,Ujjain,
2016-03-25,Pithampur,
2016-03-25,Ujjain,
2016-03-26,Pithampur,
