Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-05-21 06:00:00,129.35,57.36,27.59,1.09,28.42
2020-05-21 07:00:00,159.6,79.44,31.73,1.18,23.46
2020-05-21 08:00:00,159.48,95.37,31.04,1.2,32.0
2020-05-21 09:00:00,170.98,84.32,30.77,1.14,42.31
2020-05-21 10:00:00,188.04,79.33,28.64,1.19,52.54
2020-05-21 11:00:00,174.48,66.26,27.45,1.04,55.4
2020-05-21 12:00:00,106.2,25.99,26.26,0.88,52.52
2020-05-21 13:00:00,96.78,20.56,27.02,0.85,52.09
2020-05-21 14:00:00,96.71,26.16,31.48,0.82,47.07
2020-05-21 15:00:00,109.68,27.29,26.62,0.8,49.41
2020-05-21 16:00:00,115.23,23.64,24.87,0.79,49.83
2020-05-21 17:00:00,111.2,23.17,24.85,0.79,49.21
2020-05-21 18:00:00,105.38,21.55,24.87,0.79,47.33
2020-05-21 19:00:00,118.63,18.69,26.88,0.84,43.68
2020-05-21 20:00:00,124.6,23.93,28.92,0.92,34.64
2020-05-21 21:00:00,133.61,37.63,29.34,1.1,28.19
2020-05-21 22:00:00,141.31,39.42,30.09,1.12,23.66
2020-05-21 23:00:00,153.69,49.41,31.74,1.23,16.4
2020-05-22 00:00:00,175.09,55.24,33.01,1.29,18.03
2020-05-22 01:00:00,203.58,67.97,31.8,1.28,17.12
2020-05-22 02:00:00,202.45,70.73,32.23,1.3,14.69
2020-05-22 03:00:00,206.18,75.14,31.8,1.24,10.84
2020-05-22 04:00:00,172.22,70.81,34.01,1.3,9.0
2020-05-22 05:00:00,175.9,65.65,33.99,1.29,11.75
2020-05-22 06:00:00,178.52,62.38,35.21,1.27,10.23
2020-05-22 07:00:00,188.1,88.9,36.1,1.26,9.91
2020-05-22 08:00:00,175.5,69.04,40.49,1.36,15.48
2020-05-22 09:00:00,210.61,85.22,34.43,1.27,33.59
2020-05-22 10:00:00,203.0,86.46,32.11,1.31,49.98
2020-05-22 11:00:00,180.37,76.63,28.74,1.17,61.47
2020-05-22 12:00:00,162.33,66.57,27.55,1.11,62.83
2020-05-22 13:00:00,127.58,53.23,26.24,1.02,56.05
2020-05-22 14:00:00,128.94,45.6,26.74,1.03,53.94
2020-05-22 15:00:00,126.91,40.93,27.14,1.01,49.98
2020-05-22 16:00:00,114.58,32.37,29.08,0.98,45.9
2020-05-22 17:00:00,103.57,36.55,29.18,0.97,44.27
2020-05-22 18:00:00,98.05,26.73,25.84,0.98,46.61
2020-05-22 19:00:00,98.86,29.75,28.43,1.01,38.35
2020-05-22 20:00:00,103.82,30.42,30.61,1.15,27.88
2020-05-22 21:00:00,150.12,50.17,29.7,1.37,37.38
2020-05-22 22:00:00,171.65,79.09,29.83,1.5,22.09
2020-05-22 23:00:00,174.52,84.84,29.99,1.52,17.68
2020-05-23 00:00:00,185.74,92.98,30.33,1.55,18.99
2020-05-23 01:00:00,224.32,112.67,33.29,1.61,16.08
2020-05-23 02:00:00,215.2,113.21,31.38,1.54,22.91
2020-05-23 03:00:00,166.01,88.71,29.13,1.37,29.84
2020-05-23 04:00:00,160.26,90.33,21.2,1.36,38.77
2020-05-23 05:00:00,154.46,90.25,14.52,1.35,38.45
2020-05-23 06:00:00,146.25,84.99,14.37,1.34,31.48
2020-05-23 07:00:00,157.23,83.34,14.38,1.39,16.72
2020-05-23 08:00:00,163.95,77.11,14.34,1.37,13.42
2020-05-23 09:00:00,204.2,70.76,14.27,1.09,21.84
2020-05-23 10:00:00,223.34,54.33,14.26,1.02,31.34
